  0, -2, -4, -6, -8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42,-44,-46,-48,-50,-52,-54,-56,-58
 -2,  1, -1, -3, -5, -7, -9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-39,-41,-43,-45,-47,-49,-51,-53,-55
 -4, -1,  0,  0, -2, -4, -6, -8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42,-44,-46,-48,-50,-52
 -6, -3, -2, -1, -1, -3, -5, -7, -9,-11,-13,-15,-17,-19,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-39,-41,-43,-45,-47,-49
 -8, -5, -4, -1, -2,  0, -2, -4, -6, -8,-10,-12,-14,-16,-18,-20,-22,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42,-44,-46
-10, -7, -6, -3, -2, -1,  1, -1, -3, -5, -7, -9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-39,-41,-43,-45
-12, -9, -8, -5, -4, -1,  0,  0, -2, -2, -4, -6, -8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42
-14,-11,-10, -7, -6, -3, -2, -1, -1, -3, -3, -5, -7, -9, -9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-39
-16,-13,-12, -9, -8, -5, -4, -3,  0, -2, -4, -4, -4, -6, -8, -8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36
-18,-15,-14,-11,-10, -7, -4, -5, -2,  1, -1, -3, -5, -5, -7, -9, -9, -9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33
-20,-17,-16,-13,-12, -9, -6, -5, -4, -1,  0, -2, -4, -6, -4, -6, -8,-10, -8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30
-22,-19,-18,-15,-14,-11, -8, -7, -6, -3,  0, -1, -3, -5, -6, -5, -7, -7, -9, -9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29
-24,-21,-20,-17,-16,-13,-10, -9, -8, -5, -2, -1, -2, -4, -4, -6, -6, -8, -6, -8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28
-26,-23,-22,-19,-18,-15,-12,-11, -8, -7, -4, -3,  0, -2, -4, -3, -5, -7, -8, -7, -9, -9,-11,-13,-15,-17,-19,-21,-23,-25
-28,-25,-24,-21,-20,-17,-14,-13,-10, -7, -6, -5, -2, -1, -3, -5, -4, -4, -6, -8, -8,-10,-10,-12,-14,-16,-18,-20,-22,-24
-30,-27,-24,-23,-20,-19,-16,-13,-12, -9, -8, -5, -4, -1, -2, -4, -6, -5, -5, -7, -7, -9, -9,-11,-13,-15,-17,-19,-21,-23
-32,-29,-26,-23,-22,-19,-18,-15,-14,-11, -8, -7, -6, -3, -2, -3, -5, -5, -6, -6, -8, -8,-10,-10,-12,-14,-16,-18,-20,-22
-34,-31,-28,-25,-22,-21,-20,-17,-16,-13,-10, -7, -8, -5, -4, -3, -4, -6, -6, -7, -5, -7, -7, -9,-11,-13,-15,-17,-19,-21
-36,-33,-30,-27,-24,-23,-22,-19,-18,-15,-12, -9, -8, -7, -6, -5, -4, -5, -7, -7, -6, -6, -6, -8,-10,-12,-14,-16,-18,-20
-38,-35,-32,-29,-26,-23,-22,-21,-20,-17,-14,-11,-10, -9, -8, -7, -6, -3, -5, -7, -8, -7, -7, -7, -9,-11,-13,-15,-17,-19
-40,-37,-34,-31,-28,-25,-24,-21,-22,-19,-16,-13,-12, -9,-10, -9, -8, -5, -4, -6, -6, -8, -6, -8, -8,-10,-12,-14,-16,-18
-42,-39,-36,-33,-30,-27,-26,-23,-20,-21,-18,-15,-12,-11,-10, -9, -8, -7, -6, -5, -7, -5, -7, -7, -9, -9,-11,-13,-15,-17
-44,-41,-38,-35,-32,-29,-28,-25,-22,-21,-20,-17,-14,-11,-12,-11,-10, -9, -8, -7, -4, -6, -4, -6, -8,-10,-10,-12,-14,-16
-46,-43,-40,-37,-34,-31,-30,-27,-24,-23,-22,-19,-16,-13,-12,-13,-12,-11,-10, -9, -6, -5, -6, -5, -7, -9,-11,-11,-13,-15
-48,-45,-42,-39,-36,-33,-32,-29,-26,-25,-24,-21,-18,-15,-14,-13,-14,-13,-12,-11, -8, -7, -6, -7, -6, -8,-10,-12,-12,-14
-50,-47,-44,-41,-38,-35,-34,-31,-28,-27,-26,-23,-20,-17,-16,-15,-14,-15,-14,-13,-10, -9, -8, -7, -8, -7, -9, -9,-11,-11
-52,-49,-46,-43,-40,-37,-36,-33,-30,-29,-28,-25,-22,-19,-18,-17,-16,-15,-16,-15,-12,-11,-10, -9, -8, -9, -8,-10, -8,-10
-54,-51,-48,-45,-42,-39,-38,-35,-32,-31,-30,-27,-24,-21,-20,-19,-18,-17,-16,-17,-14,-13,-12,-11,-10, -9,-10, -9, -9, -9
-56,-53,-50,-47,-44,-41,-40,-37,-34,-33,-32,-29,-26,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10, -9,-10, -8
-58,-55,-52,-49,-46,-43,-42,-39,-36,-35,-34,-31,-28,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11, -8,-10
